iter	RMSE
265	0.1216366276
266	0.1212617564
267	0.1209015211
268	0.120550712
269	0.1202025635
270	0.1198139524
271	0.1194943609
272	0.1191684043
273	0.1188668042
274	0.1185094771
275	0.1181340219
276	0.1178037746
277	0.1174796402
278	0.1170766508
279	0.1167737915
280	0.1164574831
281	0.1161549286
282	0.1158599105
283	0.115550994
284	0.1152205071
285	0.114799744
286	0.1144800355
287	0.1141621376
288	0.1138250624
289	0.1134568012
290	0.1131535544
291	0.1128683946
292	0.1125740264
293	0.1122266829
294	0.1119128467
295	0.1116492455
296	0.1113655156
297	0.111088725
298	0.1108053857
299	0.1105359808
300	0.1102614362
301	0.1099105852
302	0.1096325066
303	0.1093187493
304	0.1089976627
305	0.1086318764
306	0.1083389914
307	0.1080411207
308	0.1077633555
309	0.1075089861
310	0.107200215
311	0.1069487028
312	0.1066535346
313	0.1063804911
314	0.1060271765
315	0.1057395562
316	0.1054311545
317	0.1051314708
318	0.1049050171
319	0.104655935
320	0.1044330804
321	0.1041733255
322	0.1039195495
323	0.1036447081
324	0.1033917052
325	0.1030802862
326	0.102803663
327	0.1025397332
328	0.1021786255
329	0.1018496538
330	0.1015684192
331	0.1013632943
332	0.1011498148
333	0.1009116242
334	0.1006408611
335	0.1003890872
336	0.1001909232
337	0.09993496645
338	0.09969634455
339	0.09940047425
340	0.09912673658
341	0.09891140211
342	0.09865642452
343	0.09844573793
344	0.09826603154
345	0.09805184813
346	0.09780184893
347	0.09761062004
348	0.09732576749
349	0.0971299879
350	0.0969355132
351	0.09671596001
352	0.09645748698
353	0.09626652906
354	0.0960139227
355	0.09580840978
356	0.09551670035
357	0.09524859209
358	0.09501362888
359	0.09473941088
360	0.0945597045
361	0.09437472674
362	0.09411565999
363	0.09389745966
364	0.09369540496
365	0.09353609996
366	0.09325808563
367	0.09311069533
368	0.0928337767
369	0.0926805617
370	0.09247784111
371	0.09230328261
372	0.09208542621
373	0.09189489334
374	0.09174866269
375	0.09159392102
376	0.09142576005
377	0.09118905414
378	0.09098612123
379	0.09080558326
380	0.09059755229
381	0.09038324471
382	0.09016469492
383	0.08999031977
384	0.08980133921
385	0.08963061651
386	0.08940401226
387	0.08926522037
388	0.08913187331
389	0.08894623136
390	0.08877540375
391	0.08863330661
392	0.08848002325
393	0.08830539041
394	0.08813750586
395	0.08801508304
396	0.08780336095
397	0.08763221121
398	0.08744704608
399	0.0872346389
400	0.08707965585
401	0.08695429576
402	0.08678650675
403	0.08662469779
404	0.08645284245
405	0.08633715903
406	0.08618639714
407	0.08599026649
408	0.08584837133
409	0.08570448905
410	0.08554845073
411	0.0854227245
412	0.08526848039
413	0.08514067553
414	0.08497941705
415	0.08485007749
416	0.08471180089
417	0.08455852221
418	0.08442242794
419	0.08425901601
420	0.08411665823
421	0.0839967273
422	0.08386987476
423	0.08373487495
424	0.08356932464
425	0.08342739993
426	0.08330723716
427	0.08311921225
428	0.08299149417
429	0.08289953831
430	0.08279979741
431	0.08268396754
432	0.08255185215
433	0.08240272549
434	0.08227387523
435	0.08217720371
436	0.08199530155
437	0.08186446874
438	0.08172929006
439	0.0815788132
440	0.08145722388
441	0.08132026411
442	0.08118859647
443	0.08103897885
444	0.08090964109
445	0.08079128137
446	0.08067291449
447	0.08051551716
448	0.08036258803
449	0.08026390717
450	0.08009560406
451	0.07995049524
452	0.07984009223
453	0.07974340156
454	0.0796286136
455	0.07950806325
456	0.07938907554
457	0.07927205307
458	0.07918664182
459	0.07905281629
460	0.07891880181
461	0.07879793429
462	0.07868053354
463	0.07857079452
464	0.07842140972
465	0.07829565866
466	0.07817136909
467	0.07805737552
468	0.07796042597
469	0.07779763097
470	0.07768863025
471	0.0775643946
472	0.07746397358
473	0.07734627541
474	0.0772322244
475	0.07712563016
476	0.07702958964
477	0.07695198059
478	0.07682190149
479	0.07666940204
480	0.07659129575
481	0.07649691482
482	0.07639033792
483	0.07626669197
484	0.07614268127
485	0.07603001023
486	0.07591155017
487	0.07581266804
488	0.07569436306
489	0.07561096759
490	0.07553627394
491	0.07544282659
492	0.07532028938
493	0.07523760278
494	0.07511051284
495	0.07498587193
496	0.07491185901
497	0.07482401071
498	0.07468176137
499	0.07454067793
